alerte_id,timestamp,machine_id,machine_nom,atelier,usine,type_alerte,pattern_detecte,niveau_severite,score_ml,valeur_actuelle,seuil_config,unite,capteur_id,statut_resolue,resolue_par,date_resolution,delai_resolution_min,commentaire,action_recommandee,impact_production_eur
ALT-00015,2026-01-27 12:54:58,P-311,Pompe BP,Pomperie,Casablanca,batterie,Déconnexion > 24h,critique,0.923017,3,15,%,P-311-SEN-03,oui,T-002 Fatima Z.,2026-01-27 13:54:58,60,Alerte générée automatiquement par le système de surveillance,Remplacement batterie capteur sous 48h,7531.84
ALT-00016,2026-01-27 14:11:59,C-118,Compresseur,Air comprimé,Tanger,batterie,Capteur hors tension,info,0.646902,13,15,%,C-118-SEN-06,non,,,,Faux positif probable — vérification en cours,Remplacement batterie capteur sous 48h,0
ALT-00017,2026-01-27 03:05:50,M-019,Moteur 400kW,Broyage,Casablanca,anomalie_ml,DBSCAN outlier,alerte,0.7942940000000001,0.79,0.8,score,M-019-SEN-ALL,oui,T-003 Youssef M.,2026-01-27 03:35:50,30,Seuil dynamique adaptatif activé,Vérifier données entrée — analyser résidu modèle — inspection ciblée,2748.85
ALT-00018,2026-01-30 10:41:41,M-019,Moteur 400kW,Broyage,Casablanca,vibratoire,BPFO en hausse,critique,0.824086,4.65,4.5,mm/s,M-019-SEN-01,oui,T-001 Ahmed B.,2026-01-30 11:41:41,60,Analyse ML confirmée par inspection visuelle,Analyser spectre FFT — vérifier BPFO/BPFI — planifier inspection roulement,7979.06
ALT-00019,2026-01-30 08:45:54,R-077,Réducteur,Convoyage,Tanger,seuil,Dépassement ISO C,critique,0.910522,11.04,7.1,mm/s,R-077-SEN-01,oui,T-006 Karim E.,2026-01-30 16:45:54,480,,ARRÊT D'URGENCE recommandé — zone ISO D — diagnostic immédiat requis,5924.45
ALT-00020,2026-01-30 10:04:10,P-204,Pompe HP,Pomperie,Casablanca,batterie,Batterie < 15%,critique,0.8888149999999999,14,15,%,P-204-SEN-03,oui,T-002 Fatima Z.,2026-01-30 10:34:10,30,Alerte générée automatiquement par le système de surveillance,Remplacement batterie capteur sous 48h,13002.87
ALT-00021,2026-01-30 09:35:40,M-019,Moteur 400kW,Broyage,Casablanca,thermique,Surchauffe palier,critique,0.907386,88.5,80,°C,M-019-SEN-02,non,,,,Alerte générée automatiquement par le système de surveillance,Contrôler circuit refroidissement — vérifier charge machine — inspection visuelle,14078.61
ALT-00022,2026-01-31 21:58:27,P-311,Pompe BP,Pomperie,Casablanca,batterie,Déconnexion > 24h,alerte,0.7935099999999999,9,15,%,P-311-SEN-07,non,,,,Seuil dynamique adaptatif activé,Remplacement batterie capteur sous 48h,165.76
ALT-00023,2026-01-31 19:27:57,P-204,Pompe HP,Pomperie,Casablanca,vibratoire,Kurtosis excessif,alerte,0.792432,3.12,4.5,mm/s,P-204-SEN-01,non,,,,Confirmé par analyse vibratoire Cat III,Analyser spectre FFT — vérifier BPFO/BPFI — planifier inspection roulement,765.37
ALT-00024,2026-02-03 05:49:18,P-311,Pompe BP,Pomperie,Casablanca,vibratoire,V_RMS > seuil,critique,0.901702,5.88,4.5,mm/s,P-311-SEN-01,non,,,,Seuil dynamique adaptatif activé,Analyser spectre FFT — vérifier BPFO/BPFI — planifier inspection roulement,591.38
ALT-00025,2026-02-03 17:13:23,C-118,Compresseur,Air comprimé,Tanger,seuil,V_RMS > 7.1 mm/s,critique,0.923458,10.03,7.1,mm/s,C-118-SEN-01,oui,T-001 Ahmed B.,2026-02-03 17:43:23,30,,ARRÊT D'URGENCE recommandé — zone ISO D — diagnostic immédiat requis,6565.52
ALT-00026,2026-02-03 08:02:46,M-019,Moteur 400kW,Broyage,Casablanca,batterie,Déconnexion > 24h,critique,0.896851,3,15,%,M-019-SEN-07,oui,T-004 Samira K.,2026-02-03 08:17:46,15,Confirmé par analyse vibratoire Cat III,Remplacement batterie capteur sous 48h,1786.37
ALT-00027,2026-02-04 20:21:28,R-077,Réducteur,Convoyage,Tanger,vibratoire,V_RMS > seuil,critique,0.885483,5.33,4.5,mm/s,R-077-SEN-01,oui,T-002 Fatima Z.,2026-02-04 20:36:28,15,Confirmé par analyse vibratoire Cat III,Analyser spectre FFT — vérifier BPFO/BPFI — planifier inspection roulement,13713.92
ALT-00028,2026-02-04 18:26:20,P-311,Pompe BP,Pomperie,Casablanca,batterie,Capteur hors tension,critique,0.830505,11,15,%,P-311-SEN-01,oui,T-005 Hicham R.,2026-02-04 18:56:20,30,,Remplacement batterie capteur sous 48h,6059.97
ALT-00029,2026-02-04 06:05:17,M-019,Moteur 400kW,Broyage,Casablanca,communication,MQTT déconnecté,critique,0.9408529999999999,5.5,5.0,s,GW-OPCUA-02,oui,T-006 Karim E.,2026-02-04 06:20:17,15,,Vérifier connectivité réseau — redémarrer passerelle si persistant,1804.01
ALT-00030,2026-02-04 11:06:45,M-019,Moteur 400kW,Broyage,Casablanca,anomalie_ml,DBSCAN outlier,alerte,0.676743,0.68,0.8,score,M-019-SEN-ALL,oui,T-002 Fatima Z.,2026-02-04 11:11:45,5,Dérive lente détectée — tendance à surveiller,Vérifier données entrée — analyser résidu modèle — inspection ciblée,1326.53
ALT-00031,2026-02-05 23:08:09,R-077,Réducteur,Convoyage,Tanger,communication,MQTT déconnecté,critique,0.803947,9.0,5.0,s,GW-Modbus-01,oui,T-005 Hicham R.,2026-02-05 23:23:09,15,Analyse ML confirmée par inspection visuelle,Vérifier connectivité réseau — redémarrer passerelle si persistant,11099.38
ALT-00032,2026-02-09 09:36:38,R-077,Réducteur,Convoyage,Tanger,anomalie_ml,DBSCAN outlier,critique,0.970596,0.97,0.8,score,R-077-SEN-ALL,oui,T-005 Hicham R.,2026-02-09 11:36:38,120,Analyse ML confirmée par inspection visuelle,Vérifier données entrée — analyser résidu modèle — inspection ciblée,11000.71
ALT-00033,2026-02-09 04:57:58,P-204,Pompe HP,Pomperie,Casablanca,seuil,Accélération > 2.5g,critique,0.834376,9.97,7.1,mm/s,P-204-SEN-01,oui,Système Auto,2026-02-09 06:57:58,120,Dérive lente détectée — tendance à surveiller,ARRÊT D'URGENCE recommandé — zone ISO D — diagnostic immédiat requis,13146.86
ALT-00034,2026-02-10 11:35:19,V-302,Ventilateur,Ventilation,Casablanca,seuil,Accélération > 2.5g,critique,0.923605,7.46,7.1,mm/s,V-302-SEN-01,oui,Système Auto,2026-02-10 12:35:19,60,Seuil dynamique adaptatif activé,ARRÊT D'URGENCE recommandé — zone ISO D — diagnostic immédiat requis,9095.8
ALT-00035,2026-02-11 21:43:36,V-302,Ventilateur,Ventilation,Casablanca,thermique,Température > 85°C,info,0.582712,79.9,80,°C,V-302-SEN-02,oui,T-003 Youssef M.,2026-02-11 21:58:36,15,Confirmé par analyse vibratoire Cat III,Contrôler circuit refroidissement — vérifier charge machine — inspection visuelle,0
ALT-00036,2026-02-11 06:57:42,P-204,Pompe HP,Pomperie,Casablanca,thermique,Surchauffe palier,critique,0.853486,93.0,80,°C,P-204-SEN-02,oui,T-005 Hicham R.,2026-02-11 07:12:42,15,Faux positif probable — vérification en cours,Contrôler circuit refroidissement — vérifier charge machine — inspection visuelle,2763.05
ALT-00037,2026-02-11 03:57:09,V-302,Ventilateur,Ventilation,Casablanca,thermique,Surchauffe palier,alerte,0.6937949999999999,85.4,80,°C,V-302-SEN-02,oui,T-001 Ahmed B.,2026-02-11 04:12:09,15,,Contrôler circuit refroidissement — vérifier charge machine — inspection visuelle,1203.11
ALT-00038,2026-02-13 23:10:59,P-311,Pompe BP,Pomperie,Casablanca,thermique,Écart thermique >15°C,critique,0.875977,84.9,80,°C,P-311-SEN-02,oui,T-003 Youssef M.,2026-02-13 23:15:59,5,,Contrôler circuit refroidissement — vérifier charge machine — inspection visuelle,12824.7
ALT-00039,2026-02-15 06:17:38,P-311,Pompe BP,Pomperie,Casablanca,anomalie_ml,Anomalie score >0.85,alerte,0.748577,0.75,0.8,score,P-311-SEN-ALL,oui,T-003 Youssef M.,2026-02-15 14:17:38,480,Confirmé par analyse vibratoire Cat III,Vérifier données entrée — analyser résidu modèle — inspection ciblée,2063.19
ALT-00040,2026-02-18 09:28:49,C-118,Compresseur,Air comprimé,Tanger,seuil,Dépassement ISO C,alerte,0.7398549999999999,11.06,7.1,mm/s,C-118-SEN-01,oui,T-006 Karim E.,2026-02-18 09:43:49,15,Dérive lente détectée — tendance à surveiller,ARRÊT D'URGENCE recommandé — zone ISO D — diagnostic immédiat requis,2080.57
ALT-00041,2026-02-18 12:41:01,P-204,Pompe HP,Pomperie,Casablanca,communication,Perte paquets >10%,info,0.600499,7.5,5.0,s,GW-MQTT-03,oui,T-004 Samira K.,2026-02-18 12:56:01,15,Seuil dynamique adaptatif activé,Vérifier connectivité réseau — redémarrer passerelle si persistant,0
ALT-00042,2026-02-18 02:44:20,P-204,Pompe HP,Pomperie,Casablanca,anomalie_ml,Déviation résiduelle,critique,0.846577,0.85,0.8,score,P-204-SEN-ALL,oui,T-004 Samira K.,2026-02-18 04:44:20,120,Seuil dynamique adaptatif activé,Vérifier données entrée — analyser résidu modèle — inspection ciblée,14681.17
ALT-00043,2026-02-18 23:47:42,V-302,Ventilateur,Ventilation,Casablanca,anomalie_ml,Pattern anomalie détecté,alerte,0.700802,0.7,0.8,score,V-302-SEN-ALL,oui,T-005 Hicham R.,2026-02-19 23:47:42,1440,,Vérifier données entrée — analyser résidu modèle — inspection ciblée,1868.84
ALT-00044,2026-02-19 18:40:13,V-302,Ventilateur,Ventilation,Casablanca,batterie,Batterie < 15%,critique,0.927427,11,15,%,V-302-SEN-05,oui,T-003 Youssef M.,2026-02-19 22:40:13,240,Faux positif probable — vérification en cours,Remplacement batterie capteur sous 48h,14816.04
ALT-00045,2026-02-20 17:21:32,P-311,Pompe BP,Pomperie,Casablanca,thermique,Surchauffe palier,critique,0.934336,86.4,80,°C,P-311-SEN-02,non,,,,Dérive lente détectée — tendance à surveiller,Contrôler circuit refroidissement — vérifier charge machine — inspection visuelle,13980.64
ALT-00046,2026-02-20 19:06:50,V-302,Ventilateur,Ventilation,Casablanca,communication,MQTT déconnecté,critique,0.922037,6.5,5.0,s,GW-MQTT-03,non,,,,Seuil dynamique adaptatif activé,Vérifier connectivité réseau — redémarrer passerelle si persistant,6698.54
ALT-00047,2026-02-21 14:18:10,V-302,Ventilateur,Ventilation,Casablanca,thermique,Température > 85°C,critique,0.944577,82.5,80,°C,V-302-SEN-02,oui,T-003 Youssef M.,2026-02-21 14:48:10,30,Analyse ML confirmée par inspection visuelle,Contrôler circuit refroidissement — vérifier charge machine — inspection visuelle,11485.96
ALT-00048,2026-02-24 04:46:25,P-311,Pompe BP,Pomperie,Casablanca,anomalie_ml,Déviation résiduelle,alerte,0.718491,0.72,0.8,score,P-311-SEN-ALL,oui,T-005 Hicham R.,2026-02-24 05:16:25,30,Faux positif probable — vérification en cours,Vérifier données entrée — analyser résidu modèle — inspection ciblée,1507.92
ALT-00049,2026-02-24 05:50:48,C-118,Compresseur,Air comprimé,Tanger,thermique,Écart thermique >15°C,critique,0.824772,88.9,80,°C,C-118-SEN-02,oui,T-003 Youssef M.,2026-02-24 06:20:48,30,,Contrôler circuit refroidissement — vérifier charge machine — inspection visuelle,14415.95
ALT-00050,2026-02-24 07:02:50,V-302,Ventilateur,Ventilation,Casablanca,thermique,Température > 85°C,alerte,0.757789,85.7,80,°C,V-302-SEN-02,oui,T-005 Hicham R.,2026-02-24 08:02:50,60,Analyse ML confirmée par inspection visuelle,Contrôler circuit refroidissement — vérifier charge machine — inspection visuelle,2001.38
ALT-00051,2026-02-25 03:50:16,P-311,Pompe BP,Pomperie,Casablanca,batterie,Batterie < 15%,alerte,0.694187,7,15,%,P-311-SEN-01,non,,,,Dérive lente détectée — tendance à surveiller,Remplacement batterie capteur sous 48h,637.86
ALT-00052,2026-02-25 03:19:12,V-302,Ventilateur,Ventilation,Casablanca,batterie,Capteur hors tension,alerte,0.710896,6,15,%,V-302-SEN-04,oui,T-003 Youssef M.,2026-02-25 04:19:12,60,Dérive lente détectée — tendance à surveiller,Remplacement batterie capteur sous 48h,2705.14
ALT-00053,2026-02-25 09:58:12,P-204,Pompe HP,Pomperie,Casablanca,communication,Latence > 5s,alerte,0.688552,3.1,5.0,s,GW-MQTT-02,oui,T-004 Samira K.,2026-02-25 10:28:12,30,Analyse ML confirmée par inspection visuelle,Vérifier connectivité réseau — redémarrer passerelle si persistant,2977.45
ALT-00054,2026-02-25 19:03:13,C-118,Compresseur,Air comprimé,Tanger,seuil,Accélération > 2.5g,alerte,0.7809170000000001,9.91,7.1,mm/s,C-118-SEN-01,non,,,,Analyse ML confirmée par inspection visuelle,ARRÊT D'URGENCE recommandé — zone ISO D — diagnostic immédiat requis,2464.08
ALT-00055,2026-02-25 14:11:11,V-302,Ventilateur,Ventilation,Casablanca,batterie,Capteur hors tension,critique,0.842069,5,15,%,V-302-SEN-07,oui,T-005 Hicham R.,2026-02-25 14:26:11,15,Confirmé par analyse vibratoire Cat III,Remplacement batterie capteur sous 48h,8623.42
ALT-00056,2026-02-27 08:25:20,C-118,Compresseur,Air comprimé,Tanger,seuil,Dépassement ISO C,alerte,0.660475,7.8,7.1,mm/s,C-118-SEN-01,oui,T-005 Hicham R.,2026-02-27 10:25:20,120,Dérive lente détectée — tendance à surveiller,ARRÊT D'URGENCE recommandé — zone ISO D — diagnostic immédiat requis,2424.7
ALT-00057,2026-02-27 09:45:12,R-077,Réducteur,Convoyage,Tanger,seuil,Dépassement ISO C,alerte,0.7935589999999999,7.53,7.1,mm/s,R-077-SEN-01,non,,,,,ARRÊT D'URGENCE recommandé — zone ISO D — diagnostic immédiat requis,1167.22
ALT-00058,2026-03-01 07:42:06,M-019,Moteur 400kW,Broyage,Casablanca,batterie,Capteur hors tension,info,0.648519,11,15,%,M-019-SEN-05,non,,,,Analyse ML confirmée par inspection visuelle,Remplacement batterie capteur sous 48h,0
ALT-00059,2026-03-01 04:17:30,V-302,Ventilateur,Ventilation,Casablanca,vibratoire,BPFO en hausse,alerte,0.774939,4.08,4.5,mm/s,V-302-SEN-01,non,,,,Seuil dynamique adaptatif activé,Analyser spectre FFT — vérifier BPFO/BPFI — planifier inspection roulement,616.53
ALT-00060,2026-03-03 09:02:06,M-019,Moteur 400kW,Broyage,Casablanca,communication,Perte paquets >10%,alerte,0.726625,8.3,5.0,s,GW-OPCUA-01,oui,T-003 Youssef M.,2026-03-03 17:02:06,480,,Vérifier connectivité réseau — redémarrer passerelle si persistant,2946.05
ALT-00061,2026-03-03 18:46:44,C-118,Compresseur,Air comprimé,Tanger,thermique,Température > 85°C,critique,0.811983,88.4,80,°C,C-118-SEN-02,oui,T-006 Karim E.,2026-03-03 19:01:44,15,,Contrôler circuit refroidissement — vérifier charge machine — inspection visuelle,8755.65
ALT-00062,2026-03-03 07:43:23,V-302,Ventilateur,Ventilation,Casablanca,thermique,Température > 85°C,alerte,0.789149,89.8,80,°C,V-302-SEN-02,oui,T-002 Fatima Z.,2026-03-03 08:13:23,30,Dérive lente détectée — tendance à surveiller,Contrôler circuit refroidissement — vérifier charge machine — inspection visuelle,2320.42
ALT-00063,2026-03-03 16:04:31,R-077,Réducteur,Convoyage,Tanger,thermique,Écart thermique >15°C,alerte,0.760435,98.1,80,°C,R-077-SEN-02,oui,T-005 Hicham R.,2026-03-03 17:04:31,60,Confirmé par analyse vibratoire Cat III,Contrôler circuit refroidissement — vérifier charge machine — inspection visuelle,1605.28
ALT-00064,2026-03-03 20:32:24,P-311,Pompe BP,Pomperie,Casablanca,batterie,Batterie < 15%,alerte,0.73079,10,15,%,P-311-SEN-07,oui,T-002 Fatima Z.,2026-03-03 21:02:24,30,Faux positif probable — vérification en cours,Remplacement batterie capteur sous 48h,137.48
ALT-00065,2026-03-05 11:53:32,R-077,Réducteur,Convoyage,Tanger,anomalie_ml,Pattern anomalie détecté,alerte,0.7514190000000001,0.75,0.8,score,R-077-SEN-ALL,oui,T-005 Hicham R.,2026-03-05 19:53:32,480,Analyse ML confirmée par inspection visuelle,Vérifier données entrée — analyser résidu modèle — inspection ciblée,2455.72
ALT-00066,2026-03-07 01:09:46,V-302,Ventilateur,Ventilation,Casablanca,thermique,Écart thermique >15°C,critique,0.805221,97.0,80,°C,V-302-SEN-02,non,,,,Analyse ML confirmée par inspection visuelle,Contrôler circuit refroidissement — vérifier charge machine — inspection visuelle,14125.93
ALT-00067,2026-03-07 14:54:33,V-302,Ventilateur,Ventilation,Casablanca,communication,Timeout passerelle,critique,0.944136,7.7,5.0,s,GW-Modbus-02,oui,T-005 Hicham R.,2026-03-07 15:24:33,30,Analyse ML confirmée par inspection visuelle,Vérifier connectivité réseau — redémarrer passerelle si persistant,2683.1
ALT-00068,2026-03-08 00:06:03,C-118,Compresseur,Air comprimé,Tanger,anomalie_ml,DBSCAN outlier,info,0.631957,0.63,0.8,score,C-118-SEN-ALL,non,,,,Alerte générée automatiquement par le système de surveillance,Vérifier données entrée — analyser résidu modèle — inspection ciblée,0
ALT-00069,2026-03-13 01:44:31,M-019,Moteur 400kW,Broyage,Casablanca,communication,Perte paquets >10%,critique,0.877594,7.3,5.0,s,GW-MQTT-02,oui,T-005 Hicham R.,2026-03-13 02:44:31,60,Dérive lente détectée — tendance à surveiller,Vérifier connectivité réseau — redémarrer passerelle si persistant,8452.19
ALT-00070,2026-03-13 09:33:41,C-118,Compresseur,Air comprimé,Tanger,anomalie_ml,DBSCAN outlier,critique,0.969175,0.97,0.8,score,C-118-SEN-ALL,oui,T-001 Ahmed B.,2026-03-13 10:03:41,30,Confirmé par analyse vibratoire Cat III,Vérifier données entrée — analyser résidu modèle — inspection ciblée,1378.49
ALT-00071,2026-03-16 17:57:49,P-204,Pompe HP,Pomperie,Casablanca,vibratoire,V_RMS > seuil,critique,0.896802,6.42,4.5,mm/s,P-204-SEN-01,oui,T-003 Youssef M.,2026-03-16 18:27:49,30,Dérive lente détectée — tendance à surveiller,Analyser spectre FFT — vérifier BPFO/BPFI — planifier inspection roulement,4537.59
ALT-00072,2026-03-16 05:07:59,M-019,Moteur 400kW,Broyage,Casablanca,seuil,Déplacement > 150µm,alerte,0.700851,10.78,7.1,mm/s,M-019-SEN-01,oui,T-003 Youssef M.,2026-03-16 05:22:59,15,Analyse ML confirmée par inspection visuelle,ARRÊT D'URGENCE recommandé — zone ISO D — diagnostic immédiat requis,2199.73
ALT-00073,2026-03-20 23:43:34,P-311,Pompe BP,Pomperie,Casablanca,vibratoire,Kurtosis excessif,alerte,0.679095,7.6,4.5,mm/s,P-311-SEN-01,oui,T-002 Fatima Z.,2026-03-21 01:43:34,120,,Analyser spectre FFT — vérifier BPFO/BPFI — planifier inspection roulement,2748.38
ALT-00074,2026-03-20 17:23:57,P-311,Pompe BP,Pomperie,Casablanca,thermique,Température > 85°C,critique,0.840256,90.8,80,°C,P-311-SEN-02,oui,T-006 Karim E.,2026-03-20 21:23:57,240,Analyse ML confirmée par inspection visuelle,Contrôler circuit refroidissement — vérifier charge machine — inspection visuelle,1442.65
ALT-00075,2026-03-23 05:52:24,P-204,Pompe HP,Pomperie,Casablanca,vibratoire,V_RMS > seuil,critique,0.943205,5.61,4.5,mm/s,P-204-SEN-01,oui,T-002 Fatima Z.,2026-03-23 06:07:24,15,Dérive lente détectée — tendance à surveiller,Analyser spectre FFT — vérifier BPFO/BPFI — planifier inspection roulement,2510.84
ALT-00076,2026-03-23 13:51:35,C-118,Compresseur,Air comprimé,Tanger,vibratoire,V_RMS > seuil,alerte,0.792775,6.86,4.5,mm/s,C-118-SEN-01,oui,T-002 Fatima Z.,2026-03-23 13:56:35,5,Analyse ML confirmée par inspection visuelle,Analyser spectre FFT — vérifier BPFO/BPFI — planifier inspection roulement,2716.48
ALT-00077,2026-03-24 09:19:27,R-077,Réducteur,Convoyage,Tanger,communication,Timeout passerelle,critique,0.912678,5.9,5.0,s,GW-Modbus-03,oui,T-005 Hicham R.,2026-03-24 09:24:27,5,Dérive lente détectée — tendance à surveiller,Vérifier connectivité réseau — redémarrer passerelle si persistant,11390.74
ALT-00078,2026-03-24 08:26:30,C-118,Compresseur,Air comprimé,Tanger,vibratoire,V_RMS > seuil,alerte,0.734416,6.33,4.5,mm/s,C-118-SEN-01,oui,T-004 Samira K.,2026-03-24 08:56:30,30,Seuil dynamique adaptatif activé,Analyser spectre FFT — vérifier BPFO/BPFI — planifier inspection roulement,686.43
ALT-00079,2026-03-24 14:15:30,P-311,Pompe BP,Pomperie,Casablanca,thermique,Surchauffe palier,critique,0.8160499999999999,90.4,80,°C,P-311-SEN-02,non,,,,Alerte générée automatiquement par le système de surveillance,Contrôler circuit refroidissement — vérifier charge machine — inspection visuelle,3911.16
ALT-00080,2026-03-26 04:39:06,M-019,Moteur 400kW,Broyage,Casablanca,communication,Latence > 5s,critique,0.877594,3.6,5.0,s,GW-MQTT-03,oui,T-004 Samira K.,2026-03-26 05:09:06,30,Seuil dynamique adaptatif activé,Vérifier connectivité réseau — redémarrer passerelle si persistant,7269.89
ALT-00081,2026-03-26 12:10:58,R-077,Réducteur,Convoyage,Tanger,seuil,Dépassement ISO C,critique,0.846626,10.47,7.1,mm/s,R-077-SEN-01,non,,,,Analyse ML confirmée par inspection visuelle,ARRÊT D'URGENCE recommandé — zone ISO D — diagnostic immédiat requis,11544.59
ALT-00082,2026-03-26 09:41:52,P-204,Pompe HP,Pomperie,Casablanca,anomalie_ml,DBSCAN outlier,critique,0.910228,0.91,0.8,score,P-204-SEN-ALL,oui,T-005 Hicham R.,2026-03-26 09:56:52,15,Seuil dynamique adaptatif activé,Vérifier données entrée — analyser résidu modèle — inspection ciblée,1057.11
ALT-00083,2026-03-26 13:07:07,C-118,Compresseur,Air comprimé,Tanger,thermique,Surchauffe palier,critique,0.932425,100.7,80,°C,C-118-SEN-02,oui,T-006 Karim E.,2026-03-26 13:37:07,30,Analyse ML confirmée par inspection visuelle,Contrôler circuit refroidissement — vérifier charge machine — inspection visuelle,4458.37
ALT-00084,2026-04-01 18:23:21,R-077,Réducteur,Convoyage,Tanger,thermique,Écart thermique >15°C,alerte,0.746862,88.6,80,°C,R-077-SEN-02,non,,,,Confirmé par analyse vibratoire Cat III,Contrôler circuit refroidissement — vérifier charge machine — inspection visuelle,1178.55
ALT-00085,2026-04-02 11:32:01,C-118,Compresseur,Air comprimé,Tanger,anomalie_ml,Déviation résiduelle,critique,0.81899,0.82,0.8,score,C-118-SEN-ALL,oui,T-002 Fatima Z.,2026-04-02 19:32:01,480,Analyse ML confirmée par inspection visuelle,Vérifier données entrée — analyser résidu modèle — inspection ciblée,3185.49
ALT-00086,2026-04-02 02:13:23,M-019,Moteur 400kW,Broyage,Casablanca,communication,MQTT déconnecté,info,0.598637,8.4,5.0,s,GW-OPCUA-01,oui,T-002 Fatima Z.,2026-04-02 02:28:23,15,Faux positif probable — vérification en cours,Vérifier connectivité réseau — redémarrer passerelle si persistant,0
